# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   16   33  21.47  -1.57  0.032  0.000 -0.004
   16   34  27.93  -0.77  0.009  0.000  0.000
   16   35  37.12  -0.01  0.083  0.022  0.000
   16   36  43.96   0.49  0.094  0.018 -0.007
   16   37  53.45   0.97  0.104  0.017 -0.007
   16   38  60.80   1.36  0.122  0.023 -0.004
   16   39  70.62   1.65  0.129  0.029 -0.005
   16   40  78.34   1.86  0.151  0.020 -0.003
   16   41  88.40   1.90  0.159  0.014 -0.008
   16   42  96.45   1.91  0.157  0.009 -0.007
   16   43 106.87   1.87  0.158 -0.004 -0.009
   16   44 115.25   1.74  0.118  0.007 -0.013
   16   45 125.87   1.49  0.111  0.002 -0.012
   16   46 134.50   1.17  0.097 -0.011 -0.013
   16   47 145.40   0.84  0.097 -0.013 -0.007
   17   10  38.75  -1.11  0.074  0.031  0.000
   17   11  27.70  -0.62  0.068  0.026  0.000
   17   12  14.05  -0.75  0.055  0.013 -0.005
   17   13   4.81  -1.27  0.049 -0.001 -0.005
   17   14  -6.62  -2.10  0.027  0.000 -0.006
   17   15 -12.49  -1.64  0.037  0.002 -0.003
   17   16 -20.07  -1.13  0.057  0.010  0.001
   17   17 -23.44  -0.79  0.092  0.017 -0.003
   17   18 -27.79  -0.60  0.081  0.002 -0.010
   17   19 -28.28  -0.48  0.050 -0.015  0.000
   17   20 -30.78  -0.67  0.016 -0.001  0.000
   17   21 -29.50  -0.20  0.049  0.017 -0.001
   17   22 -30.27  -0.17  0.093  0.024 -0.004
   17   23 -28.40  -0.39  0.118  0.016 -0.009
   17   24 -28.25  -0.76  0.129 -0.002 -0.016
   17   25 -25.22  -0.95  0.118 -0.023 -0.008
   17   26 -23.90  -1.33  0.086 -0.025 -0.004
   17   27 -20.32  -1.97  0.037 -0.014 -0.001
   17   28 -18.48  -2.89  0.011 -0.001  0.000
   17   29 -13.05  -2.59  0.033  0.011 -0.004
   17   30  -9.12  -2.36  0.044 -0.002 -0.004
   17   31  -2.97  -2.16  0.033 -0.011 -0.002
   17   32   1.76  -1.98  0.011 -0.001 -0.001
   17   33   9.16  -1.28  0.030  0.000 -0.002
   17   34  15.26  -0.50  0.052  0.014  0.001
   17   35  23.15   0.02  0.082  0.020 -0.003
   17   36  29.64   0.49  0.093  0.012 -0.006
   17   37  38.07   0.94  0.111  0.007 -0.004
   17   38  45.05   1.26  0.122  0.008 -0.005
   17   39  53.85   1.52  0.129  0.002 -0.005
   17   40  61.24   1.67  0.141 -0.001 -0.013
   17   41  70.37   1.73  0.140  0.000 -0.013
   17   42  78.09   1.68  0.145 -0.003 -0.012
   17   43  87.48   1.53  0.144 -0.004 -0.013
   17   44  95.62   1.40  0.141 -0.005 -0.012
   17   45 105.41   1.20  0.129 -0.011 -0.009
   17   46 113.86   0.94  0.108 -0.016 -0.008
   17   47 123.90   0.58  0.091 -0.029 -0.003
   17   48 132.66   0.21  0.067 -0.022 -0.001
   17   49 142.83  -0.39  0.050 -0.021  0.002
   17   50 151.61  -1.13  0.022 -0.009  0.000
   18   12  21.29  -0.43  0.102  0.002 -0.011
   18   13  11.35  -1.01  0.078 -0.010 -0.006
   18   14  -1.69  -1.74  0.023 -0.001 -0.002
   18   15  -8.14  -1.31  0.063 -0.001  0.000
   18   16 -17.38  -0.81  0.074  0.002 -0.006
   18   17 -21.83  -0.48  0.083  0.002 -0.009
   18   18 -29.23  -0.38  0.094 -0.013 -0.008
   18   19 -30.20  -0.25  0.057 -0.013  0.000
   18   20 -34.23  -0.47  0.016 -0.001  0.000
   18   21 -33.46  -0.06  0.048  0.017 -0.002
